"السنة الدراسية","القطاع الدولي","فئة الإبتعاث","المرحلة الدراسية ","المجال الواسع","الجنس","العدد"
"2015.0","استراليا","طالب مبتعث","دبلوم","الهندسة، والتصنيع والبناء","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","الهندسة، والتصنيع والبناء","ذكر","11.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","تكنولوجيا الاتصالات، والمعلومات","أنثى","2.0"
"2015.0","استراليا","طالب مبتعث","دبلوم","تكنولوجيا الاتصالات، والمعلومات","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","دبلوم عالي","الأعمال، الإدارة والقانون","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","الأعمال، الإدارة والقانون","ذكر","4.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","التعليم","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","التعليم","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","الزراعة، والحراجة، ومصائد الأسماك والبيطرة","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","الصحة والرفاه","أنثى","2.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","الصحة والرفاه","ذكر","2.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","العلوم الاجتماعية، والصحافة والإعلام","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","الهندسة، والتصنيع والبناء","أنثى","1.0"
"2015.0","استراليا","طالب مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","ذكر","3.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الأعمال، الإدارة والقانون","أنثى","17.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الأعمال، الإدارة والقانون","ذكر","130.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","البرامج و المؤهلات غير المتخصصة","ذكر","1.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","التعليم","أنثى","27.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","التعليم","ذكر","23.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الصحة والرفاه","أنثى","14.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الصحة والرفاه","ذكر","24.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","العلوم الاجتماعية، والصحافة والإعلام","أنثى","4.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","العلوم الاجتماعية، والصحافة والإعلام","ذكر","3.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","11.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","11.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الفنون والعلوم الإنسانية","أنثى","6.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الفنون والعلوم الإنسانية","ذكر","12.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","الهندسة، والتصنيع والبناء","ذكر","23.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","تكنولوجيا الاتصالات، والمعلومات","أنثى","22.0"
"2015.0","استراليا","طالب مبتعث","ماجستير","تكنولوجيا الاتصالات، والمعلومات","ذكر","36.0"
"2015.0","استراليا","موظف مبتعث","أخرى","الأعمال، الإدارة والقانون","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","أخرى","التعليم","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","أخرى","التعليم","ذكر","2.0"
"2015.0","استراليا","موظف مبتعث","أخرى","الصحة والرفاه","أنثى","3.0"
"2015.0","استراليا","موظف مبتعث","أخرى","الصحة والرفاه","ذكر","4.0"
"2015.0","استراليا","موظف مبتعث","أخرى","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","2.0"
"2015.0","استراليا","موظف مبتعث","أخرى","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","4.0"
"2015.0","استراليا","موظف مبتعث","أخرى","الفنون والعلوم الإنسانية","أنثى","2.0"
"2015.0","استراليا","موظف مبتعث","أخرى","الفنون والعلوم الإنسانية","ذكر","8.0"
"2015.0","استراليا","موظف مبتعث","أخرى","الهندسة، والتصنيع والبناء","ذكر","38.0"
"2015.0","استراليا","موظف مبتعث","أخرى","تكنولوجيا الاتصالات، والمعلومات","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","أخرى","تكنولوجيا الاتصالات، والمعلومات","ذكر","2.0"
"2015.0","استراليا","موظف مبتعث","أخرى","غير مصنفة","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","أخرى","غير مصنفة","ذكر","11.0"
"2015.0","استراليا","موظف مبتعث","الزمالة","الصحة والرفاه","ذكر","2.0"
"2015.0","استراليا","موظف مبتعث","الزمالة","الهندسة، والتصنيع والبناء","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","ذكر","3.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","الصحة والرفاه","أنثى","12.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","الصحة والرفاه","ذكر","52.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","الفنون والعلوم الإنسانية","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","ذكر","2.0"
"2015.0","استراليا","موظف مبتعث","دبلوم","غير مصنفة","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","دبلوم عالي","الأعمال، الإدارة والقانون","ذكر","3.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الأعمال، الإدارة والقانون","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الأعمال، الإدارة والقانون","ذكر","5.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","التعليم","أنثى","2.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","التعليم","ذكر","6.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الخدمات","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الصحة والرفاه","أنثى","4.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الصحة والرفاه","ذكر","19.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","العلوم الاجتماعية، والصحافة والإعلام","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","العلوم الاجتماعية، والصحافة والإعلام","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","6.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","3.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الفنون والعلوم الإنسانية","أنثى","3.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الفنون والعلوم الإنسانية","ذكر","8.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","الهندسة، والتصنيع والبناء","ذكر","6.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","أنثى","5.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","ذكر","16.0"
"2015.0","استراليا","موظف مبتعث","دكتوراه","غير مصنفة","ذكر","1.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الأعمال، الإدارة والقانون","أنثى","3.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الأعمال، الإدارة والقانون","ذكر","53.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","البرامج و المؤهلات غير المتخصصة","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","التعليم","أنثى","7.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","التعليم","ذكر","2.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الزراعة، والحراجة، ومصائد الأسماك والبيطرة","ذكر","2.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الصحة والرفاه","أنثى","18.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الصحة والرفاه","ذكر","83.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","العلوم الاجتماعية، والصحافة والإعلام","ذكر","6.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","9.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","17.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الفنون والعلوم الإنسانية","أنثى","10.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الفنون والعلوم الإنسانية","ذكر","16.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الهندسة، والتصنيع والبناء","أنثى","1.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","الهندسة، والتصنيع والبناء","ذكر","37.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","تكنولوجيا الاتصالات، والمعلومات","أنثى","13.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","تكنولوجيا الاتصالات، والمعلومات","ذكر","41.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","غير مصنفة","أنثى","2.0"
"2015.0","استراليا","موظف مبتعث","ماجستير","غير مصنفة","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","أخرى","الخدمات","ذكر","30.0"
"2015.0","الدول الأسيوية","طالب مبتعث","أخرى","الفنون والعلوم الإنسانية","أنثى","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","أخرى","الفنون والعلوم الإنسانية","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","أخرى","الهندسة، والتصنيع والبناء","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","الزمالة","الصحة والرفاه","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","أنثى","23.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","ذكر","50.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","التعليم","أنثى","7.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الخدمات","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الصحة والرفاه","أنثى","10.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الصحة والرفاه","ذكر","16.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","العلوم الاجتماعية، والصحافة والإعلام","أنثى","3.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","العلوم الاجتماعية، والصحافة والإعلام","ذكر","4.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الفنون والعلوم الإنسانية","أنثى","25.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الفنون والعلوم الإنسانية","ذكر","5.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الهندسة، والتصنيع والبناء","أنثى","7.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","الهندسة، والتصنيع والبناء","ذكر","76.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","أنثى","11.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","ذكر","17.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","غير مصنفة","أنثى","3.0"
"2015.0","الدول الأسيوية","طالب مبتعث","بكالوريوس","غير مصنفة","ذكر","29.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دبلوم","الخدمات","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","الأعمال، الإدارة والقانون","أنثى","3.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","الأعمال، الإدارة والقانون","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","التعليم","أنثى","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","الصحة والرفاه","أنثى","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","الصحة والرفاه","ذكر","3.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","الفنون والعلوم الإنسانية","أنثى","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الأعمال، الإدارة والقانون","أنثى","39.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الأعمال، الإدارة والقانون","ذكر","14.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","التعليم","أنثى","10.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","التعليم","ذكر","3.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الزراعة، والحراجة، ومصائد الأسماك والبيطرة","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الصحة والرفاه","أنثى","5.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الصحة والرفاه","ذكر","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","العلوم الاجتماعية، والصحافة والإعلام","أنثى","1.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","العلوم الاجتماعية، والصحافة والإعلام","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","9.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الفنون والعلوم الإنسانية","أنثى","9.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الفنون والعلوم الإنسانية","ذكر","2.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","الهندسة، والتصنيع والبناء","ذكر","10.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","تكنولوجيا الاتصالات، والمعلومات","أنثى","11.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","تكنولوجيا الاتصالات، والمعلومات","ذكر","5.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","غير مصنفة","أنثى","12.0"
"2015.0","الدول الأسيوية","طالب مبتعث","ماجستير","غير مصنفة","ذكر","8.0"
"2015.0","الدول الأسيوية","موظف مبتعث","أخرى","الصحة والرفاه","أنثى","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","أخرى","الصحة والرفاه","ذكر","19.0"
"2015.0","الدول الأسيوية","موظف مبتعث","أخرى","الفنون والعلوم الإنسانية","ذكر","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","أخرى","تكنولوجيا الاتصالات، والمعلومات","ذكر","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","الزمالة","الصحة والرفاه","أنثى","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","الزمالة","الصحة والرفاه","ذكر","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","بكالوريوس","البرامج و المؤهلات غير المتخصصة","أنثى","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دبلوم","تكنولوجيا الاتصالات، والمعلومات","ذكر","19.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","الأعمال، الإدارة والقانون","أنثى","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","الأعمال، الإدارة والقانون","ذكر","12.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","التعليم","ذكر","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","الصحة والرفاه","ذكر","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","العلوم الاجتماعية، والصحافة والإعلام","ذكر","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","الفنون والعلوم الإنسانية","أنثى","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","الفنون والعلوم الإنسانية","ذكر","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","الهندسة، والتصنيع والبناء","ذكر","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","ذكر","3.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","الأعمال، الإدارة والقانون","ذكر","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","التعليم","ذكر","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","الصحة والرفاه","ذكر","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","2.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","الفنون والعلوم الإنسانية","أنثى","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","الهندسة، والتصنيع والبناء","أنثى","1.0"
"2015.0","الدول الأسيوية","موظف مبتعث","ماجستير","الهندسة، والتصنيع والبناء","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","الأعمال، الإدارة والقانون","أنثى","3.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","الأعمال، الإدارة والقانون","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","التعليم","أنثى","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","التعليم","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","الصحة والرفاه","أنثى","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","الصحة والرفاه","ذكر","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","العلوم الاجتماعية، والصحافة والإعلام","أنثى","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","الفنون والعلوم الإنسانية","أنثى","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","الهندسة، والتصنيع والبناء","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","تكنولوجيا الاتصالات، والمعلومات","ذكر","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","غير مصنفة","أنثى","3.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","أخرى","غير مصنفة","ذكر","3.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","الزمالة","الصحة والرفاه","أنثى","14.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","الزمالة","الصحة والرفاه","ذكر","36.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","أنثى","33.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الأعمال، الإدارة والقانون","ذكر","26.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","التعليم","أنثى","18.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","التعليم","ذكر","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الخدمات","ذكر","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الصحة والرفاه","أنثى","111.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الصحة والرفاه","ذكر","123.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","العلوم الاجتماعية، والصحافة والإعلام","أنثى","11.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الفنون والعلوم الإنسانية","أنثى","12.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الهندسة، والتصنيع والبناء","أنثى","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","الهندسة، والتصنيع والبناء","ذكر","32.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","أنثى","8.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","تكنولوجيا الاتصالات، والمعلومات","ذكر","14.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","غير مصنفة","أنثى","4.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","بكالوريوس","غير مصنفة","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","الأعمال، الإدارة والقانون","أنثى","9.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","الأعمال، الإدارة والقانون","ذكر","16.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","التعليم","أنثى","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","الصحة والرفاه","أنثى","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","الصحة والرفاه","ذكر","3.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","العلوم الاجتماعية، والصحافة والإعلام","أنثى","4.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","أنثى","5.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","العلوم الطبيعية، والرياضايات والإحصاء","ذكر","3.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","الفنون والعلوم الإنسانية","أنثى","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","الهندسة، والتصنيع والبناء","ذكر","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","أنثى","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","تكنولوجيا الاتصالات، والمعلومات","ذكر","5.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","دكتوراه","غير مصنفة","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","ماجستير","الأعمال، الإدارة والقانون","أنثى","77.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","ماجستير","الأعمال، الإدارة والقانون","ذكر","56.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","ماجستير","التعليم","أنثى","11.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","ماجستير","التعليم","ذكر","1.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","ماجستير","الخدمات","ذكر","2.0"
"2015.0","الدول الأوروبية الأخرى","طالب مبتعث","ماجستير","الصحة والرفاه","أنثى","20.0"
